Colaborador,Fuente,Sexo,Origen,Nacimiento,Muerte
"Beláustegui, Luis",https://es.wikipedia.org/wiki/Luis_Bel%C3%A1ustegui,M,Argentina,1842,1909
"Bell, Aubrey F. G.",http://viaf.org/viaf/17504005,M,Reino Unido,1882,1950
"Bellaigue, Camille",http://viaf.org/viaf/66734105,M,Francia,1858,1930
"Bellery-Desfontaines, Henri",http://viaf.org/viaf/50122540,M,Francia,1867,1910
"Belling, Rudolf",http://viaf.org/viaf/50016356,M,Alemania,1886,1972
"Bello, Luis",http://viaf.org/viaf/80411381,M,España,1872,1935
"Bellocq, Adolfo",http://viaf.org/viaf/54420154,M,Argentina,1899,1972
"Bélot, Adolphe",http://viaf.org/viaf/59078772,M,Francia,1829,1890
"Beltrame, Anselmo",http://archivos.cedinci.org/index.php/beltrame-anselmo,M,NA,NA,NA
"Benavente, Jacinto",http://viaf.org/viaf/64015709,M,España,1866,1954
"Benavento, Gaspar L.",http://viaf.org/viaf/16352943,M,Argentina,1902,1963
"Bénech, E. M.",http://viaf.org/viaf/64124181,M,Francia,1889,1975
"Benedito, Manuel",http://viaf.org/viaf/34758689,M,España,1875,1963
"Benet, Rafael",http://viaf.org/viaf/20506836,M,España,1889,1979
"Benítez Inglott, Luis",http://viaf.org/viaf/106984765,M,España,1895,1966
"Benítez Montórfano, Víctor",http://www.portalguarani.com/1033_victor_montorfano/11704_purahei_paha_letra_de_victor_montorfano_.html,M,Paraguay,1909,1974
"Benítez, José María",http://viaf.org/viaf/24471679,M,México,1898,1967
"Benito, José de",http://viaf.org/viaf/14443143,M,España,1901,1992
"Benjamin, Walter",http://viaf.org/viaf/46757196,M,Alemania,1892,1940
"Benlliure, Mariano",http://viaf.org/viaf/35201013,M,España,1862,1947
"Benot, Eduardo",http://viaf.org/viaf/7449496,M,España,1822,1907
"Beránger, José María",https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Ber%C3%A1nger,M,España,1824,1907
"Béranger, Pierre-Jean de",http://viaf.org/viaf/12319139,M,Francia,1780,1857
"Bérard, Carol",http://viaf.org/viaf/27332415,M,Francia,1881,1942
"Béraud, Jean",http://viaf.org/viaf/37659021,M,Francia,1849,1935
"Berdía, Norberto",http://www.portondesanpedro.com/autor-curriculum.php?id=273,M,Uruguay,1900,1983
"Bergamín, José",http://viaf.org/viaf/109502857,M,España,1895,1983
"Bergamín, Rafael",http://viaf.org/viaf/96293862,M,España,1891,1970
"Bergerat, Émile",http://viaf.org/viaf/41871318,M,Francia,1845,1923
"Berges, Consuelo",http://viaf.org/viaf/14938694,F,España,1905,1988
"Berisso, Luis",http://viaf.org/viaf/101146574012438102769,M,NA,1866,1944
"Bermejo, Vladimiro",http://viaf.org/viaf/309776893,M,Perú,1908,1987
"Bermúdez de Castro, Salvador",http://viaf.org/viaf/7030663,M,España,1817,1883
"Bermúdez Franco, Antonio",https://es.wikipedia.org/wiki/Antonio_Berm%C3%BAdez_Franco,M,Argentina,1905,1975
"Bernabé, Antonio Valero de",http://viaf.org/viaf/73073531,M,Puerto Rico,1790,1863
"Bernal del Riesco, Alfonso",https://es.wikipedia.org/wiki/Alfonso_Bernal_del_Riesgo,NA,Cuba,1902,1975
"Bernaldo de Quirós, Constancio",http://viaf.org/viaf/51817204,M,España,1873,1959
"Bernard, Raymond",http://viaf.org/viaf/39409116,M,Francia,1891,1977
"Bernard, Tristán",http://viaf.org/viaf/66463596,M,Francia,1866,1947
"Bernárdez, Francisco Luis",http://viaf.org/viaf/99799184,M,Argentina,1900,1978
"Bernewitz, Carl Hans",http://viaf.org/viaf/317278021,M,Rusia,1858,1934
"Berni, Antonio",http://viaf.org/viaf/29803073,M,Argentina,1905,1981
"Berríos, Gerardo",https://www.marxists.org/espanol/mariateg/oc/poemas_a_mariategui/paginas/gerardo%20berrios.htm,M,Perú,NA,NA
"Berthélot, Marcellin",http://viaf.org/viaf/54207651,M,Francia,1827,1907
"Bertòla De' Giorgi, Aurelio",http://viaf.org/viaf/22154331,M,Italia,1753,1798
"Betancourt, Rómulo",http://viaf.org/viaf/112010772,M,Venezuela,1908,1981
"Bettencourt, Edmundo de",http://viaf.org/viaf/79172829,M,Portugal,1899,1973
"Beucler, Andre",http://viaf.org/viaf/114565571,M,Francia,1898,1985
"Beuf, François-César",http://viaf.org/viaf/27155706996422410877,M,Francia,1834,1899
"Beyle, Henri",http://viaf.org/viaf/17823,M,Francia,1783,1842
"Beyle, Pierre Marie",http://viaf.org/viaf/229377244,M,Francia,1838,1902
"Bher, Alejandro",http://viaf.org/viaf/1145243760274440162,M,NA,1874,1943
"Bianchi, Alfredo A.",https://webcolegiomoreno.wixsite.com/colegio-mmoreno/roberto-giusti-alfredo-bianchi,M,Argentina,1882,1942
"Bibberman, José",http://viaf.org/viaf/45921159,M,NA,NA,NA
"Bidau, Eduardo L.",https://es.wikipedia.org/wiki/Eduardo_L._Bidau,M,Argentina,1862,1921
"Biddle, George",http://viaf.org/viaf/91258746,M,Estados Unidos,1885,1973
"Bigatti, Alfredo",http://viaf.org/viaf/261090944,M,Argentina,1898,1964
"Bilac, Olavo",http://viaf.org/viaf/73898176,M,Brasil,1865,1918
"Bilbao, Gonzalo",http://viaf.org/viaf/31155478,M,España,1860,1938
"Bilger, Margret",http://viaf.org/viaf/30330616,M,Austria,1904,1971
"Biosca, Joaquim",http://viaf.org/viaf/58961046,M,España,1882,1932
"Birioukov, Pavel Ivanovitch",http://viaf.org/viaf/84217634,M,Rusia,1860,1931
"Blake, Pedro Viñals",https://poetassigloveintiuno.blogspot.com/2014/02/pedro-v-blake-10959.html,M,Argentina,NA,NA
"Blake, William",http://viaf.org/viaf/54144439,M,Reino Unido,1757,1827
"Blakeston, Oswell",http://viaf.org/viaf/49669757,M,Reino Unido,1907,1985
"Blanc, Louis",http://viaf.org/viaf/68925694,M,Francia,1811,1882
"Blanchard, María",http://viaf.org/viaf/67272507,F,España,1881,1932
"Blanchet, Emilio",http://viaf.org/viaf/14418422,M,NA,1829,1915
"Blanco Amor, Eduardo",http://viaf.org/viaf/54184970,M,España,1897,1979
"Blanco-Fombona, Rufino",http://viaf.org/viaf/14764516,M,Venezuela,1874,1944
"Blanco, Luis Amado",http://viaf.org/viaf/178069510,M,España,1903,1975
"Blanco, Rafael",http://www.bellasartes.co.cu/artistas/rafael-blanco,M,Cuba,1885,1955
"Blanco, Ramiro",http://viaf.org/viaf/86973454,M,España,1857,1913
"Blanes Viale, Pedro",http://viaf.org/viaf/87862856,M,Uruguay,1879,1928
Blas Cabrera,http://viaf.org/viaf/56728751,M,España,1878,1945
"Blas, Camilo",http://viaf.org/viaf/28729044,M,Perú,1903,1985
"Blasco Ibáñez, Vicente",http://viaf.org/viaf/73848096,M,España,1867,1928
"Blasco, Eusebio",http://viaf.org/viaf/2458726,M,España,1844,1903
"Blavatsky, Helena Petrovna",http://viaf.org/viaf/29530438,M,Rusia,1831,1891
"Blest Gana, Guillermo",http://viaf.org/viaf/87236258,M,Chile,1829,1904
"Blok, Aleksandr Aleksandrovic",http://viaf.org/viaf/72187352,M,Rusia,1880,1921
"Blouët, Léon Paul ",http://viaf.org/viaf/66541057,M,Francia,1848,1903
"Blowitz, Adolphe Opper de",http://viaf.org/viaf/59467579,M,Francia,1825,1903
"Bloy, Léon",http://viaf.org/viaf/4926903,M,Francia,1847,1917
"Bobadilla, Emilio",http://viaf.org/viaf/86959601,M,Cuba,1862,1921
"Bocángel y Unzueta, Gabriel",http://viaf.org/viaf/66590298,M,España,1603,1658
"Boccioni, Umberto",http://viaf.org/viaf/51685971,M,Italia,1882,1916
"Bocquet, León","https://viaf.org/viaf/41976876/#Bocquet,_L%C3%A9on,_1876-1954",M,Francia,1876,1954
"Boex, Joseph-Henry-Honoré",http://viaf.org/viaf/17228936,M,Bélgica,1856,1940
"Boex, Séraphin-Justin-François",http://viaf.org/viaf/71422269,M,Bélgica,1859,1948
"Boissier y Díaz, Carlos Alberto",http://viaf.org/viaf/73540885,M,Cuba,1877,1897
"Bolaños Díaz, Oscar",http://www.vanguardiaaprista.com/1009imagendeunahuellaparte2.html,M,Perú,NA,NA
"Bolaños Díaz, Reynaldo",https://poetassigloveintiuno.blogspot.com/2014/12/serafin-delmar-14252-poeta-de-peru.html,M,Perú,1901,1980
"Bolet Peraza, Nicanor",http://viaf.org/viaf/31571541,M,Venezuela,1838,1906
"Bolívar, Rafael",http://viaf.org/viaf/70376801,M,Venezuela,1884,1924
"Bolívar, Simón",http://viaf.org/viaf/35731693,M,Venezuela,1783,1830
"Boll, Marcelo",http://viaf.org/viaf/19750556,M,Francia,1886,1958
"Bonafé, Juan",http://viaf.org/viaf/86982852,M,España,1901,1969
"Bonafoux y Quintero, Luis",http://viaf.org/viaf/68970291,M,Francia,1855,1918
"Bonaparte, Napoléon",http://viaf.org/viaf/106964661,M,Francia,1769,1821
"Bonesatti, Tobías",https://books.google.de/books?id=lCljcUIRj1sC&pg=PA109&lpg=PA109&dq=tobias+bonesatti+escritor&source=bl&ots=V2LJFsKc6B&sig=ACfU3U2j_GCRYRSaBi0VtEavuB3FCgqzZQ&hl=de&sa=X&ved=2ahUKEwiQzv71xMrhAhXM1qQKHQqzBAEQ6AEwBnoECAcQAQ#v=onepage&q=tobias%20bonesatti%20escritor&f=false,M,Argentina,NA,NA
"Bonet i Sintes, Romà",http://viaf.org/viaf/19378687,M,España,1886,1967
"Bonilla y San Martín, Adolfo",http://viaf.org/viaf/19751127,M,España,1875,1926
"Bonnefon, Jean de",http://viaf.org/viaf/54244738,M,Francia,1867,1928
"Bonsal, Stephen",http://viaf.org/viaf/70517422,M,Estados Unidos,1865,1951
"Bontempelli, Massimo",http://viaf.org/viaf/59113424,M,Italia,1878,1960
"Borbón, Carlos de",http://viaf.org/viaf/64816830,M,España,1848,1909
"Borès, Francisco",http://viaf.org/viaf/54189019,M,España,1898,1972
"Borges, Jorge Luís",http://viaf.org/viaf/88919448,M,Argentina,1899,1986
"Borges, Norah",http://viaf.org/viaf/72662971,F,Argentina,1901,1998
"Borglum, Solon Hannibal",http://viaf.org/viaf/50949951,M,Estados Unidos,1868,1922
"Bórquez Solar, Antonio",http://viaf.org/viaf/94110038,M,Chile,1874,1938
"Borras, Enrique",http://viaf.org/viaf/87243615,M,España,1863,1957
"Borrero Echeverría, Esteban",http://viaf.org/viaf/12664942,M,Cuba,1849,1906
"Borrero, Dulce María",http://viaf.org/viaf/33647679,F,Cuba,1883,1945
"Borrero, Juana",http://viaf.org/viaf/52487761,F,Cuba,1877,1896
"Boschère, Jean de",http://viaf.org/viaf/9841229,M,Francia,1878,1953
"Boselli, Carlo",http://viaf.org/viaf/301563042,M,Italia,1876,1946
"Bosio, Bartolomé",http://cdsa.aacademica.org/000-008/86.pdf,M,Italia,1877,1956
"Bossero, Santiago A.",https://www.cimamovimientoespirita.org/santiago-bossero/,M,Argentina,1903,1967
"Boti y Barreiro, Regino Eladio",http://viaf.org/viaf/122035822,M,Cuba,1878,1958
"Boto, António",http://viaf.org/viaf/37736987,M,Portugal,1897,1959
"Botta, Anne C. Lynch",http://viaf.org/viaf/51542839,F,Estados Unidos,1815,1891
"Bottoni, Gerolamo",http://viaf.org/viaf/78699224,M,Italia,NA,NA
"Bouchaud, Pierre de",http://viaf.org/viaf/59126066,M,Francia,1862,1925
"Bourdelle, Émile Antoine",http://viaf.org/viaf/64002371,M,Francia,1861,1929
"Bourget, Paul",http://viaf.org/viaf/29530799,M,Francia,1852,1935
"Boutrox, Emilio","https://viaf.org/viaf/71387872/#Boutroux,_%C3%89mile,_1845-1921.",M,Francia,1845,1921
"Bóveda, Xavier",http://viaf.org/viaf/56079056,M,España,1898,1963
"Boza, Luis Roberto",http://viaf.org/viaf/189145857119622922893,M,NA,1880,1950
"Bozo Valenzuela, Julio",https://www.mhn.gob.cl/618/articles-75364_archivo_01.pdf,M,Chile,1879,1942
"Brachfeld, Oliver",http://viaf.org/viaf/77333390,M,Hungría,1908,1975
"Bracho, Carlos",http://viaf.org/viaf/96549842,M,México,1899,1966
"Braga, Dominique",http://viaf.org/viaf/61258264,M,Francia,1892,1975
"Bragaglia, Anton Giulio",http://viaf.org/viaf/22298742,M,Italia,1890,1960
"Brandes, Georg",http://viaf.org/viaf/4938982,M,Dinamarca,1842,1927
"Braque, Georges",http://viaf.org/viaf/9867924,M,Francia,1882,1963
"Brasil, Jaime",http://viaf.org/viaf/97697726,M,Portugal,1896,1966
"Bravo, Mario",http://viaf.org/viaf/71020310,M,Argentina,1882,1944
"Brecheret, Vítor","https://viaf.org/viaf/56883982/#Brecheret,_Vi%CC%81tor,_1894-1955",M,Brasil,1894,1955
"Bremón, Leopoldo",http://viaf.org/viaf/86852387,M,España,1837,1914
"Brenes Mesén, Roberto",http://viaf.org/viaf/14797625,M,Costa Rica,1874,1947
"Brescia, Domenico",http://viaf.org/viaf/232138481,M,Italia,1866,1939
"Breton, André",http://viaf.org/viaf/49222341,M,Francia,1896,1966
"Bretón, Tomás",http://viaf.org/viaf/64191148,M,España,1850,1923
"Briggs, Barnabas Alvin","https://viaf.org/viaf/19074961/#Briggs,_B._A._(Barnabas_Alvin)",M,NA,NA,NA
"Brion, Marcel",http://viaf.org/viaf/8241,M,Francia,1895,1984
"Brooks, Sydney",http://viaf.org/viaf/56177019,M,Reino Unido,1872,1937
"Broutá, Julio",http://viaf.org/viaf/106975627,M,España,1892,1932
"Browning, Robert",http://viaf.org/viaf/24598774,M,Reino Unido,1812,1889
"Brughetti, Romualdo",http://viaf.org/viaf/7463248,M,Argentina,1912,2003
"Brulat, Paul",http://viaf.org/viaf/9996137,M,Francia,1866,1940
"Brull, Mariano",http://viaf.org/viaf/76437875,M,Cuba,1891,1956
"Brum, Blanca Luz",http://viaf.org/viaf/56619081,F,Uruguay,1905,1985
"Brumana, Herminia C.",http://viaf.org/viaf/293122863,F,Argentina,1901,1954
"Bruno, Giordando",http://viaf.org/viaf/68926311,M,Italia,1548,1600
"Bryant, William Cullen",http://viaf.org/viaf/24640113,M,Estados Unidos,1794,1878
"Buchheister, Carl",http://viaf.org/viaf/51958909,M,Alemania,1890,1964
"Buen, Demófilo de",http://viaf.org/viaf/88534743,M,España,1890,1946
"Buendía, Rogelio",http://viaf.org/viaf/95318394,M,España,1891,1969
"Bueno, Javier",http://viaf.org/viaf/86573694,M,España,1883,1967
"Bueno, Manuel",http://viaf.org/viaf/6747997,M,España,1874,1936
"Bugalho, Francisco",http://viaf.org/viaf/99383158,M,Portugal,1905,1949
"Buira, Demetrio",http://www.biblioteca.unlpam.edu.ar/rdata/tespo/h_marsoc000.pdf,M,Argentina,NA,NA
"Buitrago, Guillermo",https://books.google.de/books?id=Ho8CD3lBLFQC&pg=PA65&lpg=PA65&dq=guillermo+buitrago+autor+argentino+-m%C3%BAsica&source=bl&ots=cW-kbitVE0&sig=ACfU3U2E5twJLWysrwPDMGPeka2XlcTtnw&hl=de&sa=X&ved=2ahUKEwjsq5n55bvgAhXN-aQKHSmRDhsQ6AEwE3oECAgQAQ#v=onepage&q=guillermo%20buitrago%20autor%20argentino%20-m%C3%BAsica&f=false,M,Argentina,NA,NA
"Bukharin, Nikolai",http://viaf.org/viaf/9966991,M,Rusia,1888,1938
"Bull, John",http://viaf.org/viaf/54331967,M,Reino Unido,1562,1628
"Bunge, Carlos Octavio",http://viaf.org/viaf/74235581,M,Argentina,1875,1918
"Buñuel, Luis",http://viaf.org/viaf/68926369,M,España,1900,1983
"Burell, Julio",http://datos.bne.es/persona/XX1209325.html,M,España,1859,1919
"Burgos, Carmen de",http://viaf.org/viaf/95256735,F,España,1867,1932
"Burgos, Javier de",https://viaf.org/viaf/8238427,M,España,1842,1902
"Bustamante y Ballivián, Enrique",http://viaf.org/viaf/19544480,M,Perú,1883,1937
"Bustamante y Sirvén, Antonio Sánchez de",http://viaf.org/viaf/76092,M,Cuba,1865,1951
"Bustamante, Luis Fernán",https://es.wikipedia.org/wiki/Luis_Fern%C3%A1n_Cisneros_Bustamante,M,Perú,1882,1954
"Bustamante, Octavio","https://viaf.org/viaf/134153651688555781261/#Bustamante,_Octavio_N.,_1903-1966",M,México,1903,1966
"Bustillo, Eduardo",http://viaf.org/viaf/86528290,M,España,1836,1908
"Bustillos, José María",http://www.elem.mx/autor/datos/2920,M,México,1866,1899
"Busuioceanu, Alexandru",http://viaf.org/viaf/6255008,M,Rumania,1896,1961
"Butler, Horacio",http://viaf.org/viaf/71518123,M,Argentina,1897,1983
"Byrne, Bonifacio",http://viaf.org/viaf/12400166,M,Cuba,1861,1936
"Byron, George Gordon",http://viaf.org/viaf/95230688,M,Reino Unido,1788,1824
"Caballero i Muñoz, Francesc",http://viaf.org/viaf/196139369,M,España,1894,1982
"Caballero, Manuel",http://www.elem.mx/autor/datos/2922,M,México,1849,1926
"Cábanas Erausquín, Juan",http://viaf.org/viaf/34151968,M,España,1907,1979
"Cabrera y Cantó, Fernando",http://viaf.org/viaf/86924136,M,España,1866,1937
"Cabrera, Raimundo",http://viaf.org/viaf/38294080,M,Cuba,1852,1923
"Cachin, Marcel",http://viaf.org/viaf/52201,M,Francia,1869,1958
"Cadenas, José Juan",http://viaf.org/viaf/86947811,M,España,1872,1947
"Cadenazzi, Edgarda",http://viaf.org/viaf/41157037909166860168,F,Uruguay,1908,1991
"Caetano Fabregat, Gilberto",https://autores.uy/fuente/312,M,Uruguay,1896,NA
"Cala, Ramón de",http://viaf.org/viaf/35770096,M,España,1827,1902
"Calandrelli, Matías",http://viaf.org/viaf/146145857077322922055,M,Argentina,1845,1919
"Calatraveño y Valladares, Fernando",http://viaf.org/viaf/86987329,M,España,1851,1916
"Calatraveño, Fernando",http://viaf.org/viaf/111145856986022921039,M,España,1851,1916
"Calcagno, Raimundo",http://viaf.org/viaf/120166186,M,Argentina,1906,1982
"Calcaño, Eduardo",http://viaf.org/viaf/75859686,M,Venezuela,1831,1904
"Calcaño, José Antonio",http://viaf.org/viaf/232646992,M,Colombia,1827,1897
"Calderón de la Barca, Pedro",http://viaf.org/viaf/73850932,M,España,1600,1681
"Calderón y Arana, Alfredo",http://viaf.org/viaf/66248390,M,España,1850,1907
"Calleja y Sánchez, Julián",http://viaf.org/viaf/257117157,M,España,1837,1913
"Calleja, Rafael",http://viaf.org/viaf/87677331,M,España,1888,1958
"Callejas, Félix",https://www.ecured.cu/F%C3%A9lix_Callejas,M,Cuba,1878,1936
"Calles, Plutarco Elías","https://viaf.org/viaf/36957040/#Calles,_Plutarco_El%C3%ADas,_1877-1945",M,México,1877,1945
"Calou, Juan Pedro",http://viaf.org/viaf/67409823,M,Argentina,1890,1923
"Calpena y Ávila, Luis",http://viaf.org/viaf/87726588,M,España,1860,1921
"Caltofen, Rudolf",http://viaf.org/viaf/34906976,M,Alemania,1895,1983
"Calvet, Agustín",http://viaf.org/viaf/61546176,M,España,1887,1964
"Calviño de Castro, Jesús",http://viaf.org/viaf/48662122,M,España,1893,1972
"Calvo de Azcoita, Víctor",https://books.google.de/books?id=6ZnJDAAAQBAJ&pg=PA130&lpg=PA130&dq=V%C3%ADctor+Calvo+de+Azcoita+arquitecto+madrid&source=bl&ots=aa1b6ku22w&sig=ACfU3U2sBVN7-7Hnou65KNQiUUWy_m9N_A&hl=de&sa=X&ved=2ahUKEwiJxNC5r4jnAhWiMewKHf79BIcQ6AEwCnoECAsQAQ#v=onepage&q=V%C3%ADctor%20Calvo%20de%20Azcoita%20arquitecto%20madrid&f=false,M,España,NA,1930
"Calvo Revilla, Luis",http://viaf.org/viaf/87726751,M,España,1840,1923
"Calvo Rodríguez, Carmelo",http://viaf.org/viaf/87726865,M,España,NA,NA
"Calvo Sotelo, Leopoldo",http://viaf.org/viaf/88026962,M,España,1894,1933
"Calzada, Andrés",http://viaf.org/viaf/11678197,M,España,1892,1938
"Calzada, Rafael",http://viaf.org/viaf/8877569,M,España,1854,1929
"Camacho, Manuel Z.",http://www.losandes.com.pe/oweb/Cultural/20100131/32548.html,M,Perú,1871,NA
"Cámara, Horacio J. de la",http://viaf.org/viaf/95622408,M,Argentina,1908,1960
"Camba, Julio",http://viaf.org/viaf/79138690,M,España,1882,1962
"Cambours Ocampo, Arturo",http://viaf.org/viaf/13058067,M,Argentina,1908,1996
"Cambronero, Carlos",http://viaf.org/viaf/100065303,M,España,1849,1913
"Camilloni, Julio",http://viaf.org/viaf/21870849,M,Italia,1911,1977
"Camín, Alfonso",http://viaf.org/viaf/38201203,M,España,1890,1982
"Camino Nessi, José",http://viaf.org/viaf/86997416,M,NA,1890,NA
"Camões, Luís de",http://viaf.org/viaf/34454091,M,Portugal,1524,1580
"Campa Salazar, Valentín",http://viaf.org/viaf/245074475,M,México,1904,NA
"Campo, Ángel de",http://viaf.org/viaf/71478091,M,México,1868,1908
"Campo, Estanislao del",http://viaf.org/viaf/25492491,M,Argentina,1834,1880
"Campoamor, Ramón de",http://viaf.org/viaf/2542317,M,España,1817,1901
"Campos Cervera, Herib",http://viaf.org/viaf/73623649,M,NA,1879,1922
"Campos, Rubén M.",http://viaf.org/viaf/54320468,M,México,1876,1945
"Canade, Vincent",http://viaf.org/viaf/95970768,M,Estados Unidos,1879,1961
"Canal Feijóo, Bernardo",http://viaf.org/viaf/117182921,M,Argentina,1897,1982
"Canalejas y Méndez, José",http://viaf.org/viaf/45110357,M,España,1854,1912
"Canalejas, José",http://viaf.org/viaf/86976570,M,España,1904,1936
"Canals, Ricard",http://viaf.org/viaf/32269932,M,España,1876,1931
"Canals, Salvador",http://viaf.org/viaf/34616633,M,Puerto Rico,1867,1938
Cañavate,http://dbe.rah.es/biografias/47443/antonio-canavate-gomez,M,España,1902,1987
"Cancela, Arturo",http://viaf.org/viaf/78773042,M,Argentina,1892,1957
"Cancio, Leopoldo",http://viaf.org/viaf/4146095333200372503,M,Cuba,1851,1927
"Candamo, Bernardo G. de",http://viaf.org/viaf/39243836,M,Francia,1881,1967
"Cané, Luis",http://viaf.org/viaf/39227267,M,Argentina,1897,1957
"Cané, Miguel",http://viaf.org/viaf/39458418,M,Argentina,1851,1905
"Canel, Eva",http://viaf.org/viaf/49074617,F,España,1857,1932
"Canga Argüelles, José",http://viaf.org/viaf/34636566,M,España,1770,1842
"Canivell i Masbernat, Eudald",http://viaf.org/viaf/31752777,M,España,1858,1928
"Cano y Masas, Leopoldo",http://viaf.org/viaf/72740619,M,España,1844,1934
"Cano, Carlos",http://viaf.org/viaf/87274417,M,España,1846,1922
"Cano, José Luis",http://viaf.org/viaf/195303424,M,España,1912,1999
"Cánovas del Castillo, Antonio",http://viaf.org/viaf/68994598,M,España,1828,1897
"Cansinos-Asséns, Rafael",http://viaf.org/viaf/29547307,M,España,1883,1964
"Canut de Bon, Barack",https://www.corporacionlaserena.cl/cementerio/bcanut.php,M,Chile,NA,1957
"Capdepón Maseres, Mariano",http://viaf.org/viaf/78865721,M,España,1838,1908
"Capdevila, Arturo",http://viaf.org/viaf/27984136,M,Argentina,1889,1967
"Cappon, Abraham A.",http://viaf.org/viaf/298858796,M,Bulgaria,1858,1931
"Caprara, Edmundo",http://viaf.org/viaf/169754607,M,Argentina,NA,NA
"Capus, Alfred",http://viaf.org/viaf/14797035,M,Francia,1858,1922
"Caraffa, Alfredo Brandán",https://poetassigloveintiuno.blogspot.com/2014/09/alfredo-brandan-caraffa-13283.html,M,Argentina,1898,1978
"Carambat, Hipólito",https://books.google.de/books?id=5pzbmL4OhJ4C&lpg=PA92&ots=n2aZ_d-pRT&dq=Hip%C3%B3lito%20Carambat&hl=de&pg=PA92#v=onepage&q=Hip%C3%B3lito%20Carambat&f=false,M,NA,NA,NA
"Carayon, Marcel",http://www.mcbax.de/info/c/marcel_carayon.html,M,Francia,1899,1960
"Carbonell i Gener, Josep",http://viaf.org/viaf/46780820,M,España,1897,1979
"Carbonell y Rivero, Miguel Angel",http://viaf.org/viaf/61462426,M,Estados Unidos,1894,1967
"Carbonell, Diego",http://viaf.org/viaf/49217988,M,Venezuela,1884,1945
"Carbonell, José Manuel",http://viaf.org/viaf/16808227,M,Cuba,1880,1968
"Carbonell, Néstor",http://viaf.org/viaf/58642755,M,Cuba,1884,1966
"Cárcano, Ramón José",http://viaf.org/viaf/100264435,M,Argentina,1860,1946
"Carcassone, Adolfo",http://viaf.org/viaf/98850900,M,Argentina,1826,1891
"Cárdenas, José de",http://viaf.org/viaf/86940223,M,España,1846,1907
